,AirportID,Name,City,Country,IATA,ICA,Latitude,Longitude,Altitude,Timezone,DST,Tz,Type,Source,MergedTz
55,57,Forestville Airport,Forestville,Canada,,CYFE,48.74610137939453,-69.09719848632811,293,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
57,59,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.1808013916,-113.690002441,526,-7.0,A,America/Edmonton,airport,OurAirports,America/Yellowknife
58,60,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.76020050048828,-121.23699951171876,555,-7.0,A,America/Edmonton,airport,OurAirports,America/Yellowknife
60,62,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.62530136108398,-77.7042007446289,639,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
61,63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.775299072299994,-64.4785995483,112,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
63,65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.42470169067383,-61.778099060058594,35,-5.0,A,America/Toronto,airport,OurAirports,America/Halifax
66,68,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.76280212402344,-117.80599975585938,117,-7.0,A,America/Edmonton,airport,OurAirports,America/Yellowknife
67,69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.635597229,-95.8497009277,152,-7.0,A,America/Edmonton,airport,OurAirports,America/Cambridge_Bay
69,71,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.5175018311,-73.4169006348,90,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
70,72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.8396987915,-115.782997131,541,-7.0,A,America/Edmonton,airport,OurAirports,America/Yellowknife
72,74,Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,48.7738990784,-91.6386032104,1408,-5.0,A,America/Coral_Harbour,airport,OurAirports,America/Atikokan
73,75,Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.6832962036,-77.9666976929,181,-5.0,A,America/Toronto,airport,OurAirports,America/Iqaluit
74,76,St Jean Airport,St. Jean,Canada,YJN,CYJN,45.29439926147461,-73.28109741210938,136,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
78,80,Schefferville Airport,Schefferville,Canada,YKL,CYKL,54.80530166625977,-66.8052978515625,1709,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
84,86,Alert Airport,Alert,Canada,YLT,CYLT,82.51779937740001,-62.280601501499994,100,-5.0,A,America/Toronto,airport,OurAirports,America/Pangnirtung
86,88,Mayo Airport,Mayo,Canada,YMA,CYMA,63.61640167236328,-135.86799621582028,1653,-8.0,A,America/Vancouver,airport,OurAirports,America/Whitehorse
90,92,Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,46.272800445600005,-75.9906005859,656,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
91,93,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,45.67950057979999,-74.0386962891,270,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
92,94,Natashquan Airport,Natashquan,Canada,YNA,CYNA,50.18999862670898,-61.78919982910156,39,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
93,95,Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,45.5217018127,-75.5635986328,211,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
94,96,Matagami Airport,Matagami,Canada,YNM,CYNM,49.76169967651367,-77.80280303955078,918,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
95,97,Old Crow Airport,Old Crow,Canada,YOC,CYOC,67.57060241699219,-139.83900451660156,824,-8.0,A,America/Vancouver,airport,OurAirports,America/Whitehorse
103,105,Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,51.4463996887207,-90.21420288085938,1267,-5.0,A,America/Coral_Harbour,airport,OurAirports,America/Toronto
104,106,Port Menier Airport,Port Menier,Canada,YPN,CYPN,49.83639907836914,-64.28859710693361,167,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
109,111,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB,46.7911,-71.393303,244,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
112,114,Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,60.11640167236328,-128.82200622558594,2255,-8.0,A,America/Vancouver,airport,OurAirports,America/Whitehorse
115,117,Greater Moncton International Airport,Moncton,Canada,YQM,CYQM,46.11220169067383,-64.67859649658203,232,-4.0,A,America/Halifax,airport,OurAirports,America/Moncton
118,121,Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,48.37189865112305,-89.32389831542969,653,-5.0,A,America/Toronto,airport,OurAirports,America/Thunder_Bay
123,126,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,46.1613998413,-60.047798156700004,203,-4.0,A,America/Halifax,airport,OurAirports,America/Glace_Bay
125,128,Resolute Bay Airport,Resolute,Canada,YRB,CYRB,74.71690368649999,-94.9693984985,215,-6.0,A,America/Winnipeg,airport,OurAirports,America/Resolute
126,129,Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,CYRI,47.76440048217773,-69.58470153808594,427,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
127,130,Roberval Airport,Roberval,Canada,YRJ,CYRJ,48.52000045776367,-72.2656021118164,586,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
129,132,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,62.811401367200006,-92.1157989502,94,-6.0,A,America/Winnipeg,airport,OurAirports,America/Rankin_Inlet
131,134,Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC,45.4385986328125,-71.69139862060547,792,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
132,135,Saint John Airport,St. John,Canada,YSJ,CYSJ,45.31610107421875,-65.89029693603516,357,-4.0,A,America/Halifax,airport,OurAirports,America/Moncton
133,136,Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,60.020301818847656,-111.96199798583984,671,-7.0,A,America/Edmonton,airport,OurAirports,America/Yellowknife
134,137,Nanisivik Airport,Nanisivik,Canada,YSR,CYSR,72.982201,-84.613602,2106,-5.0,A,America/Toronto,airport,OurAirports,America/Iqaluit
136,139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,71.9938964844,-125.24299621600001,282,-7.0,A,America/Edmonton,airport,OurAirports,America/Yellowknife
137,140,Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,64.2300033569,-76.5267028809,164,-5.0,A,America/Toronto,airport,OurAirports,America/Iqaluit
142,145,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,69.43329620361328,-133.0260009765625,15,-7.0,A,America/Edmonton,airport,OurAirports,America/Yellowknife
143,146,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.4706001282,-73.7407989502,118,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
144,147,Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,66.5214004517,-86.22470092770003,80,-6.0,A,America/Winnipeg,airport,OurAirports,America/Rankin_Inlet
145,148,Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,68.77610015869999,-81.2425,30,-5.0,A,America/Toronto,airport,OurAirports,America/Iqaluit
146,149,Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,48.20610046386719,-78.83560180664062,988,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
149,152,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM,67.5457992554,-64.03140258789999,21,-5.0,A,America/Toronto,airport,OurAirports,America/Pangnirtung
150,153,Val-d'Or Airport,Val D'or,Canada,YVO,CYVO,48.0532989502,-77.7827987671,1107,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
151,154,Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP,58.09609985351562,-68.42690277099611,129,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
152,155,Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,65.28160095214844,-126.7979965209961,238,-7.0,A,America/Edmonton,airport,OurAirports,America/Yellowknife
158,161,Wabush Airport,Wabush,Canada,YWK,CYWK,52.92190170288086,-66.86440277099611,1808,-4.0,A,America/Halifax,airport,OurAirports,America/Goose_Bay
160,163,Wrigley Airport,Wrigley,Canada,YWY,CYWY,63.20940017700195,-123.43699645996094,489,-7.0,A,America/Edmonton,airport,OurAirports,America/Yellowknife
167,170,Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,66.1449966431,-65.71360015869999,75,-5.0,A,America/Toronto,airport,OurAirports,America/Pangnirtung
173,176,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,60.709598541300004,-135.067001343,2317,-8.0,A,America/Vancouver,airport,OurAirports,America/Whitehorse
177,180,Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.8363990784,-122.59700012200001,1253,-8.0,A,America/Vancouver,airport,OurAirports,America/Fort_Nelson
180,183,Taloyoak Airport,Spence Bay,Canada,YYH,CYYH,69.5466995239,-93.57669830319999,92,-7.0,A,America/Edmonton,airport,OurAirports,America/Cambridge_Bay
185,188,Goose Bay Airport,Goose Bay,Canada,YYR,CYYR,53.3191986084,-60.425800323500006,160,-4.0,A,America/Halifax,airport,OurAirports,America/Goose_Bay
189,192,Mont Joli Airport,Mont Joli,Canada,YYY,CYYY,48.60860061645508,-68.20809936523439,172,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
193,196,Yellowknife Airport,Yellowknife,Canada,YZF,CYZF,62.46279907226562,-114.44000244140624,675,-7.0,A,America/Edmonton,airport,OurAirports,America/Yellowknife
199,202,Sept-Îles Airport,Sept-iles,Canada,YZV,CYZV,50.22330093383789,-66.26560211181639,180,-5.0,A,America/Toronto,airport,OurAirports,America/Montreal
200,203,Teslin Airport,Teslin,Canada,YZW,CYZW,60.17279815673828,-132.74299621582028,2313,-8.0,A,America/Vancouver,airport,OurAirports,America/Whitehorse
202,205,Faro Airport,Faro,Canada,ZFA,CZFA,62.20750045776367,-133.37600708007812,2351,-8.0,A,America/Vancouver,airport,OurAirports,America/Whitehorse
203,206,Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,CZFM,67.40750122070311,-134.86099243164062,116,-7.0,A,America/Edmonton,airport,OurAirports,America/Yellowknife
615,625,Vagar Airport,Vagar,Faroe Islands,FAE,EKVG,62.0635986328125,-7.277219772338867,280,0.0,E,Atlantic/Faeroe,airport,OurAirports,Atlantic/Faroe
1012,1036,Goma International Airport,Goma,Congo (Kinshasa),GOM,FZNA,-1.670809984207153,29.23850059509277,5089,2.0,U,Africa/Kigali,airport,OurAirports,Africa/Lubumbashi
1034,1058,Melilla Airport,Melilla,Spain,MLN,GEML,35.279800415,-2.9562599658999997,156,1.0,E,Europe/Madrid,airport,OurAirports,Africa/Ceuta
1167,1199,RAF Akrotiri,Akrotiri,Cyprus,AKT,LCRA,34.590401,32.9879,76,0.0,E,Europe/London,airport,OurAirports,Asia/Nicosia
1593,1637,Porto Santo Airport,Porto Santo,Portugal,PXO,LPPS,33.073398590100005,-16.3500003815,341,0.0,E,Europe/Lisbon,airport,OurAirports,Atlantic/Madeira
1620,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.23809814453125,6.108950138092041,1411,1.0,E,Europe/Paris,airport,OurAirports,Europe/Zurich
1727,1784,Del Norte International Airport,Monterrey,Mexico,NTR,MMAN,25.8656005859375,-100.23699951171876,1476,-6.0,S,America/Mexico_City,airport,OurAirports,America/Monterrey
1731,1788,Ciudad Acuña New International Airport,Ciudad Acuna,Mexico,,MMCC,29.33289909362793,-101.0989990234375,1410,-6.0,S,America/Mexico_City,airport,OurAirports,America/Matamoros
1732,1789,Ciudad del Carmen International Airport,Ciudad Del Carmen,Mexico,CME,MMCE,18.65369987487793,-91.79900360107422,10,-6.0,S,America/Mexico_City,airport,OurAirports,America/Merida
1733,1790,Nuevo Casas Grandes Airport,Nuevo Casas Grandes,Mexico,,MMCG,30.39739990234375,-107.875,4850,-7.0,S,America/Mazatlan,airport,OurAirports,America/Chihuahua
1738,1795,Ingeniero Alberto Acuña Ongay International Airport,Campeche,Mexico,CPE,MMCP,19.816799163800003,-90.50029754639999,34,-6.0,S,America/Mexico_City,airport,OurAirports,America/Merida
1739,1796,Abraham González International Airport,Ciudad Juarez,Mexico,CJS,MMCS,31.63610076904297,-106.4290008544922,3904,-7.0,S,America/Mazatlan,airport,OurAirports,America/Ojinaga
1740,1797,General Roberto Fierro Villalobos International Airport,Chihuahua,Mexico,CUU,MMCU,28.702899932900003,-105.96499633799999,4462,-7.0,S,America/Mazatlan,airport,OurAirports,America/Chihuahua
1741,1798,General Pedro Jose Mendez International Airport,Ciudad Victoria,Mexico,CVM,MMCV,23.7033004761,-98.9564971924,761,-6.0,S,America/Mexico_City,airport,OurAirports,America/Monterrey
1743,1801,General Guadalupe Victoria International Airport,Durango,Mexico,DGO,MMDO,24.1242008209,-104.52799987799999,6104,-6.0,S,America/Mexico_City,airport,OurAirports,America/Monterrey
1752,1810,Plan De Guadalupe International Airport,Saltillo,Mexico,SLW,MMIO,25.54949951171875,-100.9290008544922,4778,-6.0,S,America/Mexico_City,airport,OurAirports,America/Monterrey
1759,1818,General Servando Canales International Airport,Matamoros,Mexico,MAM,MMMA,25.7698993683,-97.5252990723,25,-6.0,S,America/Mexico_City,airport,OurAirports,America/Matamoros
1760,1819,Licenciado Manuel Crescencio Rejon Int Airport,Merida,Mexico,MID,MMMD,20.9370002747,-89.657699585,38,-6.0,S,America/Mexico_City,airport,OurAirports,America/Merida
1764,1823,Monclova International Airport,Monclova,Mexico,LOV,MMMV,26.955699920654297,-101.47000122070312,1864,-6.0,S,America/Mexico_City,airport,OurAirports,America/Monterrey
1766,1825,General Mariano Escobedo International Airport,Monterrey,Mexico,MTY,MMMY,25.7784996033,-100.107002258,1278,-6.0,S,America/Mexico_City,airport,OurAirports,America/Monterrey
1769,1828,Quetzalcóatl International Airport,Nuevo Laredo,Mexico,NLD,MMNL,27.4438991547,-99.5705032349,484,-6.0,S,America/Mexico_City,airport,OurAirports,America/Matamoros
1775,1834,Piedras Negras International Airport,Piedras Negras,Mexico,PDS,MMPG,28.627399444580078,-100.53500366210938,901,-6.0,S,America/Mexico_City,airport,OurAirports,America/Matamoros
1780,1839,General Lucio Blanco International Airport,Reynosa,Mexico,REX,MMRX,26.008899688699998,-98.22850036620001,139,-6.0,S,America/Mexico_City,airport,OurAirports,America/Matamoros
1786,1845,Francisco Sarabia International Airport,Torreon,Mexico,TRC,MMTC,25.568300247199996,-103.41100311299999,3688,-6.0,S,America/Mexico_City,airport,OurAirports,America/Monterrey
1789,1848,General Francisco Javier Mina International Airport,Tampico,Mexico,TAM,MMTM,22.2964000702,-97.86589813229999,80,-6.0,S,America/Mexico_City,airport,OurAirports,America/Monterrey
2086,2174,Jerusalem Airport,Jerusalem,West Bank,,OJJR,31.864700317382997,35.219200134277,2485,2.0,U,Asia/Jerusalem,airport,OurAirports,Asia/Hebron
2153,2250,Dyess Army Air Field,Kwajalein,Marshall Islands,,PKRO,9.396889686580002,167.470993042,9,12.0,U,Pacific/Majuro,airport,OurAirports,Pacific/Kwajalein
2154,2251,Bucholz Army Air Field,Kwajalein,Marshall Islands,KWA,PKWA,8.720120429992676,167.73199462890625,9,12.0,U,Pacific/Majuro,airport,OurAirports,Pacific/Kwajalein
2157,2254,Chuuk International Airport,Chuuk,Micronesia,TKK,PTKK,7.461870193481445,151.84300231933594,11,10.0,U,Pacific/Truk,airport,OurAirports,Pacific/Chuuk
2158,2255,Pohnpei International Airport,Pohnpei,Micronesia,PNI,PTPN,6.985099792480469,158.20899963378906,10,11.0,U,Pacific/Ponape,airport,OurAirports,Pacific/Pohnpei
2161,2258,Yap International Airport,Yap,Micronesia,YAP,PTYA,9.49891,138.082993,91,10.0,U,Pacific/Truk,airport,OurAirports,Pacific/Yap
2312,2436,Comodoro Pierrestegui Airport,Concordia,Argentina,COC,SAAC,-31.2969,-57.9966,112,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2313,2437,Gualeguaychu Airport,Gualeguaychu,Argentina,GHU,SAAG,-33.0103,-58.6131,75,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2314,2438,Junin Airport,Junin,Argentina,,SAAJ,-34.5459,-60.9306,262,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2315,2439,General Urquiza Airport,Parana,Argentina,PRA,SAAP,-31.7948,-60.4804,242,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2316,2440,Islas Malvinas Airport,Rosario,Argentina,ROS,SAAR,-32.9036,-60.785,85,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2317,2441,Sauce Viejo Airport,Santa Fe,Argentina,SFN,SAAV,-31.7117,-60.8117,55,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2318,2442,Jorge Newbery Airpark,Buenos Aires,Argentina,AEP,SABE,-34.5592,-58.4156,18,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2319,2443,Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,COR,SACO,-31.323600769000002,-64.2080001831,1604,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2321,2445,San Fernando Airport,San Fernando,Argentina,,SADF,-34.4532,-58.5896,10,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2322,2446,Mariano Moreno Airport,Jose C. Paz,Argentina,,SADJ,-34.5606,-58.7896,105,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2323,2447,La Plata Airport,La Plata,Argentina,LPG,SADL,-34.9722,-57.8947,72,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2324,2448,Moron Airport,Moron,Argentina,,SADM,-34.6763,-58.6428,95,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2325,2449,El Palomar Airport,El Palomar,Argentina,,SADP,-34.6099,-58.6126,59,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2328,2452,El Plumerillo Airport,Mendoza,Argentina,MDZ,SAME,-32.831699371300004,-68.7929000854,2310,-3.0,N,America/Mendoza,airport,OurAirports,America/Argentina/Mendoza
2329,2453,Comodoro D.R. Salomón Airport,Malargue,Argentina,LGS,SAMM,-35.493598938000005,-69.5743026733,4685,-3.0,N,America/Mendoza,airport,OurAirports,America/Argentina/Mendoza
2330,2454,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,AFA,SAMR,-34.588299,-68.4039,2470,-3.0,N,America/Mendoza,airport,OurAirports,America/Argentina/Mendoza
2331,2455,Catamarca Airport,Catamarca,Argentina,CTC,SANC,-28.5956001282,-65.751701355,1522,-3.0,N,America/Catamarca,airport,OurAirports,America/Argentina/Catamarca
2332,2456,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,Argentina,SDE,SANE,-27.7655563354,-64.3099975586,656,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2333,2457,Tinogasta Airport,Tinogasta,Argentina,,SANI,-28.0377998352,-67.5802993774,3968,-3.0,N,America/Catamarca,airport,OurAirports,America/Argentina/Catamarca
2338,2462,Area De Material Airport,Rio Cuarto,Argentina,RCU,SAOC,-33.0850982666,-64.2612991333,1380,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2339,2463,Villa Dolores Airport,Villa Dolores,Argentina,VDR,SAOD,-31.945199966399997,-65.1463012695,1847,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2340,2464,La Quiaca Airport,Laboulaye,Argentina,,SAOL,-22.1506004333,-65.57749938959999,11414,-3.0,N,America/Jujuy,airport,OurAirports,America/Argentina/Jujuy
2341,2465,Marcos Juarez Airport,Marcos Juarez,Argentina,,SAOM,-32.6836,-62.1578,360,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2344,2468,Corrientes Airport,Corrientes,Argentina,CNQ,SARC,-27.4455,-58.7619,202,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2345,2469,Resistencia International Airport,Resistencia,Argentina,RES,SARE,-27.45,-59.0561,173,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2346,2470,Formosa Airport,Formosa,Argentina,FMA,SARF,-26.2127,-58.2281,193,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2347,2471,Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,IGR,SARI,-25.737300872800002,-54.473400116,916,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2348,2472,Paso De Los Libres Airport,Paso De Los Libres,Argentina,AOL,SARL,-29.6894,-57.1521,230,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2349,2473,Monte Caseros Airport,Monte Caseros,Argentina,,SARM,-30.2719,-57.6402,170,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2350,2474,Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,PSS,SARP,-27.3858,-55.9707,430,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2352,2477,Gobernador Horacio Guzman International Airport,Jujuy,Argentina,JUJ,SASJ,-24.3927993774,-65.0978012085,3019,-3.0,N,America/Jujuy,airport,OurAirports,America/Argentina/Jujuy
2354,2479,Laboulaye Airport,La Quiaca,Argentina,,SASQ,-34.1353988647,-63.362300872799985,449,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2355,2481,El Dorado Airport,El Dorado,Argentina,,SATD,-26.397499084499998,-54.5746994019,685,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2356,2482,Goya Airport,Goya,Argentina,,SATG,-29.1058,-59.2189,128,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2357,2483,Oberá Airport,Obera,Argentina,,SATO,-27.518199920700003,-55.1241989136,1125,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2358,2484,Reconquista Airport,Reconquista,Argentina,,SATR,-29.2103,-59.68,160,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2359,2485,Curuzu Cuatia Airport,Curuzu Cuatia,Argentina,,SATU,-29.7706,-57.9789,229,-3.0,N,America/Cordoba,airport,OurAirports,America/Argentina/Cordoba
2361,2487,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,CRD,SAVC,-45.7853,-67.4655,189,-3.0,N,America/Catamarca,airport,OurAirports,America/Argentina/Catamarca
2362,2488,Brigadier Antonio Parodi Airport,Esquel,Argentina,EQS,SAVE,-42.908000946,-71.139503479,2621,-3.0,N,America/Catamarca,airport,OurAirports,America/Argentina/Catamarca
2363,2490,Almirante Marco Andres Zar Airport,Trelew,Argentina,REL,SAVT,-43.2105,-65.2703,141,-3.0,N,America/Catamarca,airport,OurAirports,America/Argentina/Catamarca
2365,2492,El Tehuelche Airport,Puerto Madryn,Argentina,PMY,SAVY,-42.7592,-65.1027,427,-3.0,N,America/Catamarca,airport,OurAirports,America/Argentina/Catamarca
2374,2501,Comandante Espora Airport,Bahia Blanca,Argentina,BHI,SAZB,-38.725,-62.1693,246,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2375,2502,Brigadier D.H.E. Ruiz Airport,Colonel Suarez,Argentina,,SAZC,-37.446098,-61.889301,767,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2376,2503,Olavarria Airport,Olavarria,Argentina,,SAZF,-36.8899993896,-60.216598510699995,551,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2378,2505,Tres Arroyos Airport,Tres Arroyos,Argentina,,SAZH,-38.3869,-60.3297,400,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2379,2506,Bolivar Airport,Bolivar,Argentina,,SAZI,-36.1866,-61.0764,308,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2380,2508,Ástor Piazzola International Airport,Mar Del Plata,Argentina,MDQ,SAZM,-37.9342,-57.5733,72,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
2382,2511,Comodoro Pedro Zanni Airport,Pehuajo,Argentina,,SAZP,-35.8446,-61.8576,278,-3.0,N,America/Buenos_Aires,airport,OurAirports,America/Argentina/Buenos_Aires
