"Aerospatiale (Nord) 262","ND2","N262"
"Boeing 737","737",\N
"Boeing 737 MAX 10","7MJ",\N
"Boeing 737 MAX 7","7M7","B37M"
"Boeing 737 MAX 8","7M8","B38M"
"Boeing 737 MAX 9","7M9","B39M"
"Boeing 737-200","732","B732"
"Boeing 737-300","733","B733"
"Boeing 737-400","734","B734"
"Boeing 737-500","735","B735"
"Boeing 737-600","736","B736"
"Boeing 737-700","73G","B737"
"Boeing 737-800","738","B738"
"Boeing 737-900","739","B739"
"Boeing 747","747",\N
"Boeing 747 LCF Dreamlifter","74B","BLCF"
"Boeing 747-100","741","B741"
"Boeing 747-200","742","B742"
"Boeing 747-300","743","B743"
"Boeing 747-400","744","B744"
"Boeing 747-400D","74J","B74D"
"Boeing 747-8","748","B748"
"Boeing 747SP","74L","B74S"
"Boeing 747SR","74R","B74R"
"Boeing 757","757",\N
"Boeing 757-200","752","B752"
"Boeing 757-300","753","B753"
"Boeing 767","767",\N
"Boeing 767-200","762","B762"
"Boeing 767-300","763","B763"
"Boeing 767-400","764","B764"
"Boeing 777","777",\N
"Boeing 777-200","772","B772"
"Boeing 777-200LR","77L","B77L"
"Boeing 777-300","773","B773"
"Boeing 777-300ER","77W","B77W"
"Boeing 777-8","778","B778"
"Boeing 777-9","779","B779"
"Boeing 787","787",\N
"Boeing 787-10","78J","B78X"
"Boeing 787-8","788","B788"
"Boeing 787-9","789","B789"
"Bombardier 415",\N,"CL2T"
"Bombardier BD-100 Challenger 300",\N,"CL30"
"Bombardier CS100","CS1","BCS1"
"Bombardier CS300","CS3","BCS3"
"Bombardier Global Express","CCX","GLEX"
"British Aerospace (BAC) One Eleven","B11","BA11"
"British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900","H25","H25B"
"British Aerospace 125-1000 series / Hawker/Raytheon 1000","H25","H25C"
"British Aerospace ATP","ATP","ATP"
"British Aerospace Jetstream 31","J31","JS31"
"British Aerospace Jetstream 32","J32","JS32"
"British Aerospace Jetstream 41","J41","JS41"
"Canadair Challenger","CCJ","CL60"
"Canadair CL-44","CL4","CL44"
"Canadair Regional Jet 100","CR1","CRJ1"
"Canadair Regional Jet 1000","CRK","CRJX"
"Canadair Regional Jet 200","CR2","CRJ2"
"Canadair Regional Jet 700","CR7","CRJ7"
"Canadair Regional Jet 900","CR9","CRJ9"
"Cessna 152",\N,"C152"
"Cessna 172","CN1","C172"
"Cessna 182 Skylane","CN1","C182"
"Cessna 208 Caravan","CN1","C208"
"Cessna 210 Centurion","CN1","C210"
"Cessna Citation CJ3","CNJ","C25B"
"Cessna Citation CJ4","CNJ","C25C"
"Cessna Citation Excel","CNJ","C56X"
"Cessna Citation I","CNJ","C500"
"Cessna Citation II","CNJ","C550"
"Cessna Citation Mustang","CNJ","C510"
"Cessna Citation Sovereign","CNJ","C680"
"Cessna Citation X","CNJ","C750"
"COMAC C-919",\N,"C919"
"Concorde","SSC","CONC"
"Dassault Falcon 2000","D20","F2TH"
"Dassault Falcon 50","DF3","FA50"
"Dassault Falcon 7X","DF7","FA7X"
"Dassault Falcon 900","DF9","F900"
"De Havilland Canada DHC-2 Beaver","DHP","DHC2"
"De Havilland Canada DHC-2 Turbo-Beaver","DHR","DH2T"
"De Havilland Canada DHC-3 Otter","DHL","DHC3"
"De Havilland Canada DHC-4 Caribou","DHC","DHC4"
"De Havilland Canada DHC-6 Twin Otter","DHT","DHC6"
"De Havilland Canada DHC-7 Dash 7","DH7","DHC7"
"De Havilland Canada DHC-8-100 Dash 8 / 8Q","DH1","DH8A"
"De Havilland Canada DHC-8-200 Dash 8 / 8Q","DH2","DH8B"
"De Havilland Canada DHC-8-300 Dash 8","DH3","DH8C"
"De Havilland Canada DHC-8-400 Dash 8Q","DH4","DH8D"
"De Havilland DH.104 Dove","DHD","DOVE"
"De Havilland DH.114 Heron","DHH","HERN"
"Douglas DC-10","D10","DC10"
"Douglas DC-3","D3F","DC3"
"Douglas DC-6","D6F","DC6"
"Douglas DC-8-50","D8T","DC85"
"Douglas DC-8-62","D8L","DC86"
"Douglas DC-8-72","D8Q","DC87"
"Douglas DC-9-10","D91","DC91"
"Douglas DC-9-20","D92","DC92"
"Douglas DC-9-30","D93","DC93"
"Douglas DC-9-40","D94","DC94"
"Douglas DC-9-50","D95","DC95"
"Embraer 170","E70","E170"
"Embraer 175","E75",\N
"Embraer 175 (long wing)","E7W","E75L"
"Embraer 175 (short wing)","E7W","E75S"
"Embraer 190","E90","E190"
"Embraer 195","E95","E195"
"Embraer E190-E2","290","E290"
"Embraer E195-E2","295","E295"
"Embraer EMB 110 Bandeirante","EMB","E110"
"Embraer EMB 120 Brasilia","EM2","E120"
"Embraer Legacy 450",\N,"E545"
"Embraer Legacy 600","ER3","E35L"
"Embraer Phenom 100","EP1","E50P"
"Embraer Phenom 300","EP3","E55P"
"Embraer RJ135","ER3","E135"
"Embraer RJ140","ERD","E135"
"Embraer RJ145","ER4","E145"
"Fairchild Dornier 328JET","FRJ","J328"
"Fairchild Dornier Do.228","D28","D228"
"Fairchild Dornier Do.328","D38","D328"
"Fokker 100","100","F100"
"Fokker 50","F50","F50"
"Fokker 70","F70","F70"
"Fokker F27 Friendship","F27","F27"
"Fokker F28 Fellowship","F21","F28"
"Gulfstream Aerospace G-159 Gulfstream I","GRS","G159"
"Gulfstream G280","GR3","G280"
"Gulfstream G650","GJ6","GLF6"
"Gulfstream IV","GJ4","GLF4"
"Gulfstream V","GJ5","GLF5"
"Gulfstream/Rockwell (Aero) Commander","ACP","AC68"
"Gulfstream/Rockwell (Aero) Turbo Commander","ACT","AC90"
"Harbin Yunshuji Y12","YN2","Y12"
"Hawker Siddeley HS 748","HS7","A748"
"Ilyushin IL114","I14","I114"
"Ilyushin IL18","IL8","IL18"
"Ilyushin IL62","IL6","IL62"
"Ilyushin IL76","IL7","IL76"
"Ilyushin IL86","ILW","IL86"
"Ilyushin IL96","I93","IL96"
"Learjet 35","LRJ","LJ35"
"Learjet 60","LRJ","LJ60"
"Lockheed L-1011 Tristar","L10","L101"
"Lockheed L-1049 Super Constellation","L49","CONI"
"Lockheed L-182 / 282 / 382 (L-100) Hercules","LOH","C130"
"Lockheed L-188 Electra","LOE","L188"
"McDonnell Douglas MD-11","M11","MD11"
"McDonnell Douglas MD-81","M81","MD81"
"McDonnell Douglas MD-82","M82","MD82"
"McDonnell Douglas MD-83","M83","MD83"
"McDonnell Douglas MD-87","M87","MD87"
"McDonnell Douglas MD-88","M88","MD88"
"McDonnell Douglas MD-90","M90","MD90"
"NAMC YS-11","YS1","YS11"
"Partenavia P.68","PN6","P68"
"Pilatus Britten-Norman BN-2A Mk III Trislander","BNT","TRIS"
"Pilatus Britten-Norman BN-2A/B Islander","BNI","BN2P"
"Pilatus PC-12","PL2","PC12"
"Pilatus PC-6 Turbo Porter","PL6","PC6T"
"Piper PA-28 (above 200 hp)",\N,"P28B"
"Piper PA-28 (up to 180 hp)",\N,"P28A"
"Piper PA-31 Navajo","PA2","PA31"
"Piper PA-44 Seminole",\N,"PA44"
"Piper PA-46","PAG","PA46"
"Saab 2000","S20","SB20"
"Saab SF340A/B","SF3","SF34"
"Shorts SC-5 Belfast","SHB","BELF"
"Shorts SC-7 Skyvan","SHS","SC7"
"Shorts SD.330","SH3","SH33"
"Shorts SD.360","SH6","SH36"
"Sikorsky S-58T","S58","S58T"
"Sikorsky S-61","S61","S61"
"Sikorsky S-76","S76","S76"
"Sikorsky S-92","S92","S92"
"Sukhoi Superjet 100-95","SU9","SU95"
"Tupolev Tu-134","TU3","T134"
"Tupolev Tu-144",\N,"T144"
"Tupolev Tu-154","TU5","T154"
"Tupolev Tu-204","T20","T204"
"Yakovlev Yak-40","YK4","YK40"
"Yakovlev Yak-42","YK2","YK42"
